393
qstr_{s0} {s0}
qstr_Native Native
qstr_v{reg0}.{reg1} v{reg0}.{reg1}
qstr_This_server_requires This_server_requires_LWBR_WarForge_v{reg0}.{reg1},_you_seem_to_be_using_{s0}
qstr_{s0}_you_will_be_ki {s0},_you_will_be_kicked_now
qstr_Player_{s1}_has_been Player_{s1}_has_been_kicked_due_to_not_using_the_required_WarForge_version({s1},_needs_{s0})
qstr_{s0}_you_will_be_kic {s0},_you_will_be_kicked_within_5_seconds
qstr_Left_the_server Left_the_server
qstr_{!}sending_prisoner_ {!}sending_prisoner_cart_6_feet_underground!
qstr_{!}spawn_prison_cart {!}spawn_prison_cart_5_secs_initiated!
qstr_{!}spawn_prison_cart! {!}spawn_prison_cart!
qstr_{!}g_multiplayer_cco {!}g_multiplayer_ccoop_spawn_alive_player_squad:_{reg0}
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}ERROR:_Not_enough {!}ERROR:_Not_enough_banners_for_heroes!
qstr_{!}DEBUG____initial_ {!}DEBUG_--_initial_war/peace_check_begins
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_Set_team_1_bot_count Set_team_1_bot_count_to_#{reg1}
qstr_Set_team_2_bot_count Set_team_2_bot_count_to_#{reg1}
qstr_Set_maximum_seconds_ Set_maximum_seconds_for_round_to_#{reg0}
qstr_Set_respawn_period_t Set_respawn_period_to_#{reg0}_seconds
qstr_Set_bot_count_limit_ Set_bot_count_limit_for_polls_to_#{reg0}
qstr_Enabled_polls_to_cha Enabled_polls_to_change_map
qstr_Disabled_polls_to_ch Disabled_polls_to_change_map
qstr_Enabled_polls_to_chan Enabled_polls_to_change_factions
qstr_Disabled_polls_to_cha Disabled_polls_to_change_factions
qstr_Enabled_player_respa Enabled_player_respawn_as_bot
qstr_Disabled_player_resp Disabled_player_respawn_as_bot
qstr_Enabled_polls_to_kic Enabled_polls_to_kick_players
qstr_Disabled_polls_to_ki Disabled_polls_to_kick_players
qstr_Enabled_polls_to_ban Enabled_polls_to_ban_players
qstr_Disabled_polls_to_ba Disabled_polls_to_ban_players
qstr_Set_valid_vote_ratio Set_valid_vote_ratio_to_#{reg0}
qstr_Set_auto_balance_lim Set_auto-balance_limit_to_#{reg0}
qstr_Set_starting_gold_to Set_starting_gold_to_#{reg0}%
qstr_Set_starting_gold_to_ Set_starting_gold_to_#{reg0}%%
qstr_Set_combat_gold_bonu Set_combat_gold_bonus_to_#{reg0}%
qstr_Set_combat_gold_bonus Set_combat_gold_bonus_to_#{reg0}%%
qstr_Set_round_gold_bonus Set_round_gold_bonus_to_#{reg0}%
qstr_Set_round_gold_bonus_ Set_round_gold_bonus_to_#{reg0}%%
qstr_Enabled_player_banne Enabled_player_banners
qstr_Disabled_player_bann Disabled_player_banners
qstr_Enabled_force_minimu Enabled_force_minimum_armor
qstr_Disabled_force_minim Disabled_force_minimum_armor
